Id,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate
720575940625455247,53.4525,0.018708198868153968,0,0,400,0.0
720575940609375580,54.865,0.018226556092226374,0,0,400,0.0
720575940619544779,61.655,0.016219284729543426,0,0,400,0.0
720575940629922934,62.08,0.016108247422680414,0,0,400,0.0
720575940630444625,70.0475,0.014276026981690995,0,0,400,0.0
720575940628793982,87.9025,0.011376240721253662,0,0,400,0.0
720575940635990640,100.1075,0.009989261543840371,0,0,400,0.0
720575940605379506,122.8925,0.008137193075248694,0,0,400,0.0
720575940635467150,129.4625,0.007724244472337549,0,0,400,0.0
720575940619237985,131.7325,0.007591141138291614,0,0,400,0.0
