Id,avg_in_hitting_time,rw_in_closeness,in_truncated_runs,in_stuck_runs,in_total_runs,in_truncation_rate
720575940619544779,58.36,0.017135023989033583,0,0,50,0.0
720575940609375580,61.3,0.016313213703099513,0,0,50,0.0
720575940625455247,63.86,0.015659254619480114,0,0,50,0.0
720575940628793982,67.6,0.014792899408284025,0,0,50,0.0
720575940629922934,70.08,0.014269406392694065,0,0,50,0.0
720575940630444625,85.8,0.011655011655011656,0,0,50,0.0
720575940605379506,120.7,0.008285004142502071,0,0,50,0.0
720575940635467150,129.76,0.007706535141800247,0,0,50,0.0
720575940635990640,133.76,0.007476076555023924,0,0,50,0.0
720575940619237985,140.42,0.007121492664862556,0,0,50,0.0
