type,dominant_community,top10_concentration_ratio,community,community_size,internal_directed_edges,outgoing_cut_edges,incoming_cut_edges,total_out_volume,total_in_volume,out_escape_ratio,in_escape_ratio,directed_density,undirected_density
rw_out_closeness,0,0.4,0,444,10604,4441,6389,15045,16993,0.2951811232967763,0.37597834402400987,0.05391169950989364,0.09012059463526732
rw_in_closeness,0,0.7,0,444,10604,4441,6389,15045,16993,0.2951811232967763,0.37597834402400987,0.05391169950989364,0.09012059463526732
normal_out_closeness,0,0.9,0,444,10604,4441,6389,15045,16993,0.2951811232967763,0.37597834402400987,0.05391169950989364,0.09012059463526732
normal_in_closeness,3,1.0,3,473,11023,3466,2666,14489,13689,0.2392159569328456,0.19475491270363066,0.049373813021822484,0.08236284803095997
normal_betweenness,3,0.7,3,473,11023,3466,2666,14489,13689,0.2392159569328456,0.19475491270363066,0.049373813021822484,0.08236284803095997
rw_betweenness,4,0.6,4,530,6994,2072,1186,9066,8180,0.228546216633576,0.1449877750611247,0.024945607589970397,0.041359631914969504
