Id,Label,cell_class,nt_type,primary_type,side,super_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,modularity_class
720575940630057258,FB.269,CX,GLUT,FB2M,right,central,26,65,91,294,861,1155,0.327994,2853.122181,0
720575940607263068,NO.FB.127,CX,unknown,unknown,right,central,2,2,4,6,9,15,0.249969,305.247698,4
720575940615785755,FB.1012,CX,SER,vDeltaA_b,left,central,16,17,33,110,190,300,0.283655,3090.216334,4
720575940637994328,FB.1071,CX,ACH,vDeltaI_b,right,central,13,10,23,124,104,228,0.292286,1274.158808,0
720575940634280288,FB.79,CX,unknown,FB5K,left,central,102,77,179,1452,2253,3705,0.314312,11761.08972,0
720575940602831328,FB.665,CX,ACH,vDeltaG,right,central,24,30,54,282,360,642,0.321542,2526.175672,0
720575940604451505,FB.32,CX,unknown,FB5H,right,central,109,106,215,1344,1060,2404,0.362677,32522.372577,0
720575940605583136,FB.31,CX,unknown,FB4Y,left,central,133,148,281,1420,1323,2743,0.367743,156266.33032,3
720575940607343829,FB.750,CX,ACH,vDeltaF,right,central,18,25,43,348,395,743,0.314654,807.5488,0
720575940608179268,FB.678,CX,ACH,vDeltaI_a,left,central,25,26,51,273,296,569,0.312038,1962.169214,0
720575940609261922,FB.696,CX,ACH,vDeltaF,left,central,22,23,45,262,285,547,0.311511,399.761319,0
720575940611243690,FB.777,CX,ACH,vDeltaG,right,central,18,30,48,207,343,550,0.31821,756.38812,0
720575940614615557,FB.672,CX,ACH,vDeltaG,right,central,23,23,46,257,319,576,0.309324,1243.609585,0
720575940615018838,FB.813,CX,ACH,vDeltaF,left,central,19,23,42,255,309,564,0.311702,347.872361,0
720575940615134011,FB.774,CX,ACH,vDeltaG,right,central,19,21,40,254,324,578,0.308477,952.680043,0
720575940616204091,FB.728,CX,ACH,vDeltaI_a,left,central,22,22,44,282,337,619,0.31583,3142.68222,0
720575940616218452,FB.661,CX,ACH,vDeltaG,right,central,15,30,45,202,323,525,0.326199,437.307238,0
720575940616410171,FB.56,CX,ACH,hDeltaH,left,central,140,61,201,2645,1466,4111,0.306471,8875.42718,0
720575940617225565,FB.100,CX,unknown,FB5L,left,central,71,115,186,1009,2309,3318,0.315045,11326.249992,0
720575940618523585,FB.830,CX,ACH,vDeltaI_a,left,central,18,21,39,221,248,469,0.302267,740.148555,0
720575940618624239,FB.871,CX,ACH,vDeltaG,left,central,16,23,39,200,295,495,0.312086,528.449084,0
720575940618867627,FB.612,CX,ACH,vDeltaG,right,central,22,29,51,320,405,725,0.316719,1190.792373,0
720575940619126950,FB.692,CX,ACH,vDeltaF,right,central,22,24,46,312,406,718,0.310176,407.570825,0
