Source,Target,Type,Weight
720575940619157595,720575940612330154,Directed,9
720575940619157595,720575940612585011,Directed,5
720575940619157595,720575940614026449,Directed,16
720575940619157595,720575940616545793,Directed,5
720575940619157595,720575940616824118,Directed,7
720575940619157595,720575940619200960,Directed,10
720575940619157595,720575940625142936,Directed,5
720575940619157595,720575940653018017,Directed,10
720575940608278620,720575940604612832,Directed,15
720575940608278620,720575940606731529,Directed,17
720575940608278620,720575940607837707,Directed,16
720575940608278620,720575940607848649,Directed,7
720575940608278620,720575940608014549,Directed,5
720575940608278620,720575940608208835,Directed,12
720575940608278620,720575940608328387,Directed,6
720575940608278620,720575940608783452,Directed,5
720575940608278620,720575940609375580,Directed,10
720575940608278620,720575940609774434,Directed,6
720575940608278620,720575940610219715,Directed,21
720575940608278620,720575940610409957,Directed,6
720575940608278620,720575940610980932,Directed,31
720575940608278620,720575940611117380,Directed,5
720575940608278620,720575940611415449,Directed,6
720575940608278620,720575940611963346,Directed,9
720575940608278620,720575940612851367,Directed,28
720575940608278620,720575940612869269,Directed,10
720575940608278620,720575940612973096,Directed,14
720575940608278620,720575940613250735,Directed,5
720575940608278620,720575940613606041,Directed,10
720575940608278620,720575940614017534,Directed,6
720575940608278620,720575940614018722,Directed,8
720575940608278620,720575940614154786,Directed,31
720575940608278620,720575940614294175,Directed,6
720575940608278620,720575940614298474,Directed,7
720575940608278620,720575940614298730,Directed,9
720575940608278620,720575940614966214,Directed,34
720575940608278620,720575940615101747,Directed,9
720575940608278620,720575940615687380,Directed,13
720575940608278620,720575940615783097,Directed,12
720575940608278620,720575940616040148,Directed,17
720575940608278620,720575940616103254,Directed,7
720575940608278620,720575940616617940,Directed,19
720575940608278620,720575940616657989,Directed,6
720575940608278620,720575940616856645,Directed,5
720575940608278620,720575940617433627,Directed,9
720575940608278620,720575940617494232,Directed,27
720575940608278620,720575940617600064,Directed,5
720575940608278620,720575940617801675,Directed,6
720575940608278620,720575940617978526,Directed,8
720575940608278620,720575940618407333,Directed,5
720575940608278620,720575940618694638,Directed,51
720575940608278620,720575940618928981,Directed,5
720575940608278620,720575940619489088,Directed,18
720575940608278620,720575940619544779,Directed,6
720575940608278620,720575940619574181,Directed,24
720575940608278620,720575940619715568,Directed,5
720575940608278620,720575940620012020,Directed,22
720575940608278620,720575940620058537,Directed,47
720575940608278620,720575940620130032,Directed,8
720575940608278620,720575940620159398,Directed,8
720575940608278620,720575940620197441,Directed,13
720575940608278620,720575940620223659,Directed,12
720575940608278620,720575940620417797,Directed,6
720575940608278620,720575940620841310,Directed,16
720575940608278620,720575940620932813,Directed,24
720575940608278620,720575940621193864,Directed,7
720575940608278620,720575940621347583,Directed,40
720575940608278620,720575940621360264,Directed,11
720575940608278620,720575940621825518,Directed,12
720575940608278620,720575940622132872,Directed,11
720575940608278620,720575940622136129,Directed,12
720575940608278620,720575940622217654,Directed,16
720575940608278620,720575940622334699,Directed,5
720575940608278620,720575940622599679,Directed,7
720575940608278620,720575940622713638,Directed,6
720575940608278620,720575940622811116,Directed,33
720575940608278620,720575940622815123,Directed,11
720575940608278620,720575940622899453,Directed,11
720575940608278620,720575940622941447,Directed,11
720575940608278620,720575940623004711,Directed,28
720575940608278620,720575940623062453,Directed,9
720575940608278620,720575940623084471,Directed,11
720575940608278620,720575940623154407,Directed,12
720575940608278620,720575940623392949,Directed,12
720575940608278620,720575940623488551,Directed,5
720575940608278620,720575940623536398,Directed,8
720575940608278620,720575940623649097,Directed,9
720575940608278620,720575940623781268,Directed,35
720575940608278620,720575940623801125,Directed,14
720575940608278620,720575940624065038,Directed,5
720575940608278620,720575940624073452,Directed,9
720575940608278620,720575940624215245,Directed,42
720575940608278620,720575940624222014,Directed,6
720575940608278620,720575940624290232,Directed,14
720575940608278620,720575940625392650,Directed,15
720575940608278620,720575940625415196,Directed,11
720575940608278620,720575940625698279,Directed,6
720575940608278620,720575940625721331,Directed,18
720575940608278620,720575940625850938,Directed,42
720575940608278620,720575940625864581,Directed,5
720575940608278620,720575940625902823,Directed,23
720575940608278620,720575940625925898,Directed,7
720575940608278620,720575940625969064,Directed,5
720575940608278620,720575940626371898,Directed,17
720575940608278620,720575940626533714,Directed,5
720575940608278620,720575940626778217,Directed,10
720575940608278620,720575940627033875,Directed,22
720575940608278620,720575940627194267,Directed,7
720575940608278620,720575940627228328,Directed,13
720575940608278620,720575940627264062,Directed,44
720575940608278620,720575940627782014,Directed,28
720575940608278620,720575940627807994,Directed,8
720575940608278620,720575940628029378,Directed,16
720575940608278620,720575940628206391,Directed,7
720575940608278620,720575940628211244,Directed,26
720575940608278620,720575940628219479,Directed,34
720575940608278620,720575940628527247,Directed,29
720575940608278620,720575940628576250,Directed,26
720575940608278620,720575940628628987,Directed,15
720575940608278620,720575940628793982,Directed,5
720575940608278620,720575940628907524,Directed,34
720575940608278620,720575940628940994,Directed,6
720575940608278620,720575940629039660,Directed,10
720575940608278620,720575940629468739,Directed,44
720575940608278620,720575940629909199,Directed,9
720575940608278620,720575940630021115,Directed,20
720575940608278620,720575940630089031,Directed,9
720575940608278620,720575940630199759,Directed,13
720575940608278620,720575940630335596,Directed,11
720575940608278620,720575940630590255,Directed,6
720575940608278620,720575940630840493,Directed,6
720575940608278620,720575940631257647,Directed,12
720575940608278620,720575940631347596,Directed,10
720575940608278620,720575940631366483,Directed,30
720575940608278620,720575940631483167,Directed,10
720575940608278620,720575940631620689,Directed,13
720575940608278620,720575940631725011,Directed,44
720575940608278620,720575940631725087,Directed,14
720575940608278620,720575940631824332,Directed,9
720575940608278620,720575940631911905,Directed,8
720575940608278620,720575940631958829,Directed,5
720575940608278620,720575940631983277,Directed,39
720575940608278620,720575940632052010,Directed,6
720575940608278620,720575940632212039,Directed,7
720575940608278620,720575940632255388,Directed,5
720575940608278620,720575940632718944,Directed,16
720575940608278620,720575940632732985,Directed,16
720575940608278620,720575940632830056,Directed,12
720575940608278620,720575940632992922,Directed,7
720575940608278620,720575940633013412,Directed,7
720575940608278620,720575940633173412,Directed,8
720575940608278620,720575940633173668,Directed,9
720575940608278620,720575940633271447,Directed,5
720575940608278620,720575940633412971,Directed,22
720575940608278620,720575940633744747,Directed,6
720575940608278620,720575940633797677,Directed,16
720575940608278620,720575940633909600,Directed,7
720575940608278620,720575940634046399,Directed,10
720575940608278620,720575940634313071,Directed,18
720575940608278620,720575940635632023,Directed,7
720575940608278620,720575940635678942,Directed,47
720575940608278620,720575940635969758,Directed,25
720575940608278620,720575940636313701,Directed,7
720575940608278620,720575940636588724,Directed,5
720575940608278620,720575940636914287,Directed,15
720575940608278620,720575940636969182,Directed,26
720575940608278620,720575940637057614,Directed,5
720575940608278620,720575940637260622,Directed,6
720575940608278620,720575940637455593,Directed,6
720575940608278620,720575940637983814,Directed,5
720575940608278620,720575940638114357,Directed,16
720575940608278620,720575940638250112,Directed,37
720575940608278620,720575940638328765,Directed,6
