Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940630479631,FB.1343,CX,FB.1343,ACH,vDeltaL,right,central
720575940617077533,FB.517,CX,FB.517,GLUT,FB8C,right,central
720575940620059425,FB.1257,CX,FB.1257,ACH,vDeltaA_a,right,central
720575940622713638,FB.656,CX,FB.656,ACH,FC2C,left,central
720575940626137895,EB.33,CX,EB.33,ACH,EPG,left,central
720575940612211496,FB.425,CX,FB.425,DA,PFR,right,central
720575940629758762,NO.FB.32,CX,NO.FB.32,ACH,PFNd,left,central
720575940616520517,FB.708,CX,FB.708,ACH,FC1C,right,central
720575940620649292,NO.108,CX,NO.108,ACH,PFNm,left,central
720575940626858831,FB.1169,CX,FB.1169,ACH,vDeltaJ,right,central
720575940628120402,FB.151,CX,FB.151,ACH,hDeltaI,right,central
720575940618928981,FB.744,CX,FB.744,ACH,FS2,right,central
720575940606591836,EB.260,CX,EB.260,GABA,ER3d,right,central
720575940616586077,FB.891,CX,FB.891,ACH,vDeltaC,left,central
720575940634575711,NO_CONS.2567,CX,NO_CONS.2567,unknown,vDeltaA_b,left,central
720575940637344613,FB.903,CX,FB.903,ACH,FC1C,left,central
720575940628136809,FB.286,CX,FB.286,ACH,FC2B,left,central
720575940619322221,FB.474,CX,FB.474,GLUT,FB4Z,left,central
720575940640785267,NO.FB.31,CX,NO.FB.31,ACH,PFNd,right,central
720575940628104061,FB.449,CX,FB.449,GLUT,FB8B,right,central
720575940615177099,EB.140,CX,EB.140,ACH,PEN_b/PEN2,left,central
720575940624483216,FB.885,CX,FB.885,ACH,FC1A,left,central
720575940626138008,FB.294,CX,FB.294,GLUT,FB7G,right,central
720575940618306469,EB.192,CX,EB.192,GABA,ER3w,right,central
720575940619584421,FB.347,CX,FB.347,GLUT,FB7J,left,central
720575940618994603,AOTU.FB.34,TuBu,AOTU.FB.34,ACH,TuBu07,left,central
720575940605379506,FB.45,CX,FB.45,ACH,hDeltaA,right,central
720575940624892858,FB.306,CX,FB.306,GLUT,FB6B,left,central
720575940643259336,FB.634,CX,FB.634,ACH,vDeltaI_a,left,central
720575940631725011,FB.229,CX,FB.229,ACH,hDeltaC,left,central
720575940617585624,NO.FB.38,CX,NO.FB.38,ACH,PFNd,right,central
720575940618814424,FB.1161,CX,FB.1161,SER,vDeltaI_a,right,central
720575940613440479,FB.1182,CX,FB.1182,ACH,vDeltaA_a,left,central
720575940612047853,AOTU.BU.44,TuBu,AOTU.BU.44,ACH,TuBu09,right,central
720575940619715568,FB.122,CX,FB.122,ACH,hDeltaL,right,central
720575940622451699,FB.1302,CX,FB.1302,ACH,vDeltaA_a,left,central
720575940634248184,FB.1045,CX,FB.1045,ACH,vDeltaK,right,central
720575940630021115,FB.249,CX,FB.249,SER,PFGs,left,central
720575940606723081,FB.593,CX,FB.593,ACH,FC3,right,central
720575940643177495,FB.248,CX,FB.248,GLUT,FB5D,left,central
720575940644733975,FB.384,CX,FB.384,DA,PFR,right,central
720575940631725087,FB.784,CX,FB.784,SER,hDeltaK,right,central
720575940617716770,FB.1327,CX,FB.1327,ACH,vDeltaL,left,central
720575940622713897,FB.SMP.54,CX,FB.SMP.54,ACH,FS4A,right,central
720575940631151663,FB.LAL.14,CX,FB.LAL.14,ACH,PFL3,right,central
720575940646126644,FB.1270,CX,FB.1270,ACH,vDeltaK,left,central
